ticker;preco;dy;pvp;valor_patrimonial;liquidez_diaria;percentual_caixa;patrimonio;num_cotistas;gestao
BCFF11;7,28;4,81;0,83;8,76;0,0;6,73;;;Ativa
BCIA11;84,69;12,14;0,85;99,22;;0,18;;;Ativa
BCRI11;66,04;14,63;0,76;86,59;;0,72;;;Ativa
BETW11;0,00;0,0;;105,22;;0,36;;2,0;
BGRB11;100,50;7,65;1,08;92,89;;13,55;;272,0;Ativa
BICE11;899,00;7,69;0,85;;;1,18;;118,0;Ativa
BICR11;35,92;3,24;0,86;41,61;72,0;3,33;;641,0;Ativa
BIME11;7,19;14,76;0,86;8,4;;1,77;;;Ativa
BINR11;1.673,35;0,0;1,57;;0,0;10,13;;103,0;Ativa
BIPD11;915,10;2,32;0,93;987,16;0,0;4,94;;111,0;Ativa
BIPE11;1.000,00;0,0;1,02;979,08;0,0;19,25;;103,0;Ativa
BLCA11;96,50;6,27;0,75;129,14;;3,63;;476,0;Ativa
BLCP11;91,00;0,0;1,43;63,81;;3,5;;;
BLMC11;85,75;0,0;1,34;63,81;;3,5;;;
BLMG11;39,30;9,54;0,56;70,48;;0,14;;;Ativa
BLMO11;83,99;6,93;0,8;104,98;;2,84;;341,0;Ativa
BLMR11;6,78;0,0;0,11;63,81;;3,5;;;
BLOG11;10,99;5,91;0,98;11,26;93,79;0,11;;71,0;Ativa
BLUR11;76,03;8,71;0,99;76,7;228,0;24,16;;138,0;Ativa
